Info 66   [10:58:58.155] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 67   [10:58:58.181] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 12 structureChanged: false Elapsed: 25ms
Info 68   [10:58:58.181] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 69   [10:59:28.752] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 70   [10:59:28.792] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 13 structureChanged: false Elapsed: 40ms
Info 71   [10:59:28.792] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 72   [10:59:28.793] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 73   [10:59:28.821] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 14 structureChanged: false Elapsed: 28ms
Info 74   [10:59:28.821] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 75   [10:59:29.987] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 76   [10:59:30.17] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 15 structureChanged: false Elapsed: 30ms
Info 77   [10:59:30.17] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 78   [10:59:30.294] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 79   [10:59:30.323] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 16 structureChanged: false Elapsed: 29ms
Info 80   [10:59:30.323] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 81   [10:59:39.744] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 82   [10:59:39.766] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 17 structureChanged: false Elapsed: 22ms
Info 83   [10:59:39.766] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 84   [10:59:40.238] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 85   [10:59:40.262] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 18 structureChanged: false Elapsed: 24ms
Info 86   [10:59:40.262] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 87   [10:59:40.531] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 88   [10:59:40.558] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 19 structureChanged: false Elapsed: 27ms
Info 89   [10:59:40.558] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 90   [10:59:40.647] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 91   [10:59:40.673] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 20 structureChanged: false Elapsed: 26ms
Info 92   [10:59:40.673] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 93   [10:59:41.298] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 94   [10:59:41.326] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 21 structureChanged: false Elapsed: 27ms
Info 95   [10:59:41.326] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 96   [10:59:42.895] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 97   [10:59:42.920] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 22 structureChanged: false Elapsed: 25ms
Info 98   [10:59:42.921] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 99   [11:3:1.56] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
